,Core_replaced,cores,thread
369,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
370,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
371,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
372,"4 Core, 8 Threads",4 Core, 8 Threads
373,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
374,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
375,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
376,"6 Core, 12 Threads",6 Core, 12 Threads
377,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
378,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
379,"6 Core, 12 Threads",6 Core, 12 Threads
380,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
381,"8 Core, 16 Threads",8 Core, 16 Threads
382,"4 Core, 8 Threads",4 Core, 8 Threads
383,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
384,"8 Core, 16 Threads",8 Core, 16 Threads
385,"8 Core, 16 Threads",8 Core, 16 Threads
386,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
387,"4 Core, 8 Threads",4 Core, 8 Threads
388,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
389,"4 Core, 8 Threads",4 Core, 8 Threads
390,"6 Core, 12 Threads",6 Core, 12 Threads
391,"8 Core, 16 Threads",8 Core, 16 Threads
392,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
393,"6 Core, 12 Threads",6 Core, 12 Threads
394,"8 Core, 16 Threads",8 Core, 16 Threads
395,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
396,"4 Core, 8 Threads",4 Core, 8 Threads
397,2 Core,2 Core,None
398,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
399,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
400,"4 Core, 8 Threads",4 Core, 8 Threads
401,"4 Core, 8 Threads",4 Core, 8 Threads
402,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
403,"8 Core, 16 Threads",8 Core, 16 Threads
404,"4 Core, 8 Threads",4 Core, 8 Threads
405,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
406,"8 Core, 16 Threads",8 Core, 16 Threads
407,"2 Core, 2 Threads",2 Core, 2 Threads
408,"2 Core, 2 Threads",2 Core, 2 Threads
409,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
410,"4 Core, 8 Threads",4 Core, 8 Threads
411,"2 Core, 2 Threads",2 Core, 2 Threads
412,"2 Core, 4 Threads",2 Core, 4 Threads
413,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
414,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
415,8 Core,8 Core,None
416,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
417,"2 Core, 2 Threads",2 Core, 2 Threads
418,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
419,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
420,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
421,"2 Core, 2 Threads",2 Core, 2 Threads
422,"8 Core, 16 Threads",8 Core, 16 Threads
423,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
424,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
425,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
426,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
427,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
428,"6 Core, 12 Threads",6 Core, 12 Threads
429,"6 Core, 12 Threads",6 Core, 12 Threads
430,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
431,"6 Core, 12 Threads",6 Core, 12 Threads
432,"2 Core, 2 Threads",2 Core, 2 Threads
433,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
434,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
435,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
436,"4 Core, 8 Threads",4 Core, 8 Threads
437,"8 Core, 16 Threads",8 Core, 16 Threads
438,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
439,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
440,"8 Core, 16 Threads",8 Core, 16 Threads
441,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
442,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
443,24 Cores (8P + 16E),24 Cores (8P + 16E),None
444,"8 Core, 16 Threads",8 Core, 16 Threads
445,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
446,"2 Core, 2 Threads",2 Core, 2 Threads
447,"6 Core, 12 Threads",6 Core, 12 Threads
448,"4 Core, 8 Threads",4 Core, 8 Threads
449,8 Core,8 Core,None
450,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
451,"2 Core, 2 Threads",2 Core, 2 Threads
452,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
453,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
454,"8 Core, 16 Threads",8 Core, 16 Threads
455,"4 Core, 8 Threads",4 Core, 8 Threads
456,"8 Core, 16 Threads",8 Core, 16 Threads
457,"4 Core, 8 Threads",4 Core, 8 Threads
458,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
459,"4 Core, 8 Threads",4 Core, 8 Threads
460,"4 Core, 8 Threads",4 Core, 8 Threads
461,"6 Core, 12 Threads",6 Core, 12 Threads
462,"6 Core, 12 Threads",6 Core, 12 Threads
463,"8 Core, 16 Threads",8 Core, 16 Threads
464,"4 Core, 8 Threads",4 Core, 8 Threads
465,"8 Core, 16 Threads",8 Core, 16 Threads
466,"4 Core, 8 Threads",4 Core, 8 Threads
467,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
468,"4 Core, 8 Threads",4 Core, 8 Threads
469,"2 Core, 2 Threads",2 Core, 2 Threads
470,"2 Core, 2 Threads",2 Core, 2 Threads
471,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
472,"4 Core, 8 Threads",4 Core, 8 Threads
473,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
474,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
475,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
476,"6 Core, 12 Threads",6 Core, 12 Threads
477,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
478,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
479,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
480,"5 Cores (1P + 4E), 6 Threads",5 Cores (1P + 4E), 6 Threads
481,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
482,"6 Core, 12 Threads",6 Core, 12 Threads
483,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
484,"2 Core, 4 Threads",2 Core, 4 Threads
485,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
486,"8 Core, 16 Threads",8 Core, 16 Threads
487,"4 Core, 8 Threads",4 Core, 8 Threads
488,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
489,"4 Core, 8 Threads",4 Core, 8 Threads
490,"4 Core, 8 Threads",4 Core, 8 Threads
491,"2 Core, 4 Threads",2 Core, 4 Threads
492,"8 Core, 16 Threads",8 Core, 16 Threads
493,"8 Core, 16 Threads",8 Core, 16 Threads
494,"2 Core, 4 Threads",2 Core, 4 Threads
495,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
496,"6 Core, 12 Threads",6 Core, 12 Threads
497,"8 Core, 16 Threads",8 Core, 16 Threads
498,"4 Core, 8 Threads",4 Core, 8 Threads
499,"8 Core, 16 Threads",8 Core, 16 Threads
500,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
501,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
502,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
503,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
504,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
505,"4 Core, 8 Threads",4 Core, 8 Threads
506,"8 Core, 16 Threads",8 Core, 16 Threads
507,"5 Cores (1P + 4E), 6 Threads",5 Cores (1P + 4E), 6 Threads
508,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
509,"2 Core, 2 Threads",2 Core, 2 Threads
510,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
511,"2 Core, 4 Threads",2 Core, 4 Threads
512,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
513,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
514,"8 Core, 16 Threads",8 Core, 16 Threads
515,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
516,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
517,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
518,"2 Core, 2 Threads",2 Core, 2 Threads
519,"8 Core, 16 Threads",8 Core, 16 Threads
520,"6 Core, 12 Threads",6 Core, 12 Threads
521,"2 Core, 4 Threads",2 Core, 4 Threads
522,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
523,"8 Core, 16 Threads",8 Core, 16 Threads
524,"4 Core, 8 Threads",4 Core, 8 Threads
525,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
526,"6 Core, 12 Threads",6 Core, 12 Threads
527,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
528,"8 Core, 16 Threads",8 Core, 16 Threads
529,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
530,"2 Core, 4 Threads",2 Core, 4 Threads
531,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
532,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
533,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
534,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
535,"6 Core, 12 Threads",6 Core, 12 Threads
536,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
537,"2 Core, 4 Threads",2 Core, 4 Threads
538,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
539,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
540,20 Threads,None,20 Threads
541,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
542,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
543,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
544,"2 Core, 2 Threads",2 Core, 2 Threads
545,"2 Core, 2 Threads",2 Core, 2 Threads
546,"2 Core, 2 Threads",2 Core, 2 Threads
547,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
548,"6 Core, 12 Threads",6 Core, 12 Threads
549,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
550,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
551,"8 Core, 16 Threads",8 Core, 16 Threads
552,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
553,"8 Core, 16 Threads",8 Core, 16 Threads
554,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
555,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
556,"8 Core, 16 Threads",8 Core, 16 Threads
557,"4 Core, 8 Threads",4 Core, 8 Threads
558,"4 Core, 8 Threads",4 Core, 8 Threads
559,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
560,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
561,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
562,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
563,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
564,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
565,"6 Core, 12 Threads",6 Core, 12 Threads
566,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
567,"6 Core, 12 Threads",6 Core, 12 Threads
568,"6 Core, 12 Threads",6 Core, 12 Threads
569,"4 Core, 8 Threads",4 Core, 8 Threads
570,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
571,"6 Core, 12 Threads",6 Core, 12 Threads
572,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
573,"6 Core, 12 Threads",6 Core, 12 Threads
574,"2 Core, 4 Threads",2 Core, 4 Threads
575,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
576,"8 Core, 16 Threads",8 Core, 16 Threads
577,"6 Core, 12 Threads",6 Core, 12 Threads
578,"6 Core, 12 Threads",6 Core, 12 Threads
579,"2 Core, 4 Threads",2 Core, 4 Threads
580,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
581,"6 Core, 12 Threads",6 Core, 12 Threads
582,"4 Core, 8 Threads",4 Core, 8 Threads
583,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
584,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
585,"4 Core, 8 Threads",4 Core, 8 Threads
586,"4 Core, 8 Threads",4 Core, 8 Threads
587,"4 Core, 8 Threads",4 Core, 8 Threads
588,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
589,"2 Core, 4 Threads",2 Core, 4 Threads
590,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
591,"4 Core, 8 Threads",4 Core, 8 Threads
592,"8 Core, 8 Threads",8 Core, 8 Threads
593,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
594,"6 Core, 12 Threads",6 Core, 12 Threads
595,"6 Core, 12 Threads",6 Core, 12 Threads
596,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
597,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
598,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
599,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
600,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
601,"4 Core, 8 Threads",4 Core, 8 Threads
602,"2 Core, 4 Threads",2 Core, 4 Threads
603,"5 Cores (1P + 4E), 6 Threads",5 Cores (1P + 4E), 6 Threads
604,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
605,"5 Cores (1P + 4E), 6 Threads",5 Cores (1P + 4E), 6 Threads
606,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
607,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
608,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
609,"4 Core, 8 Threads",4 Core, 8 Threads
610,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
611,"6 Core, 12 Threads",6 Core, 12 Threads
612,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
613,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
614,"6 Core, 12 Threads",6 Core, 12 Threads
615,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
616,"6 Core, 12 Threads",6 Core, 12 Threads
617,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
618,"6 Core, 12 Threads",6 Core, 12 Threads
619,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
620,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
621,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
622,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
623,"8 Core, 16 Threads",8 Core, 16 Threads
624,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
625,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
626,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
627,"6 Core, 12 Threads",6 Core, 12 Threads
628,"6 Core, 12 Threads",6 Core, 12 Threads
629,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
630,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
631,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
632,"4 Core, 8 Threads",4 Core, 8 Threads
633,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
634,"4 Core, 8 Threads",4 Core, 8 Threads
635,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
636,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
637,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
638,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
639,"6 Core, 12 Threads",6 Core, 12 Threads
640,"2 Core, 4 Threads",2 Core, 4 Threads
641,"6 Core, 12 Threads",6 Core, 12 Threads
642,"8 Core, 16 Threads",8 Core, 16 Threads
643,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
644,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
645,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
646,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
647,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
648,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
649,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
650,"2 Core, 4 Threads",2 Core, 4 Threads
651,"8 Core, 16 Threads",8 Core, 16 Threads
652,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
653,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
654,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
655,"8 Core, 16 Threads",8 Core, 16 Threads
656,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
657,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
658,"8 Core, 16 Threads",8 Core, 16 Threads
659,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
660,"4 Core, 8 Threads",4 Core, 8 Threads
661,"2 Core, 4 Threads",2 Core, 4 Threads
662,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
663,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
664,"6 Core, 12 Threads",6 Core, 12 Threads
665,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
666,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
667,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
668,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
669,"4 Core, 8 Threads",4 Core, 8 Threads
670,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
671,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
672,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
673,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
674,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
675,"8 Core, 16 Threads",8 Core, 16 Threads
676,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
677,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
678,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
679,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
680,"2 Core, 4 Threads",2 Core, 4 Threads
681,"8 Core, 16 Threads",8 Core, 16 Threads
682,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
683,"6 Core, 12 Threads",6 Core, 12 Threads
684,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
685,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
686,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
687,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
688,"12 Cores, 24 Threads",12 Cores, 24 Threads
689,"8 Core, 16 Threads",8 Core, 16 Threads
690,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
691,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
692,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
693,"4 Core, 8 Threads",4 Core, 8 Threads
694,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
695,"6 Core, 12 Threads",6 Core, 12 Threads
696,"6 Core, 12 Threads",6 Core, 12 Threads
697,"4 Core, 8 Threads",4 Core, 8 Threads
698,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
699,"4 Core, 8 Threads",4 Core, 8 Threads
700,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
701,"8 Core, 16 Threads",8 Core, 16 Threads
702,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
703,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
704,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
705,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
706,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
707,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
708,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
709,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
710,"4 Core, 4 Threads",4 Core, 4 Threads
711,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
712,"6 Core, 12 Threads",6 Core, 12 Threads
713,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
714,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
715,"2 Core, 2 Threads",2 Core, 2 Threads
716,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
717,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
718,"8 Core, 16 Threads",8 Core, 16 Threads
719,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
720,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
721,"2 Core, 4 Threads",2 Core, 4 Threads
722,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
723,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
724,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
725,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
726,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
727,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
728,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
729,"4 Core, 8 Threads",4 Core, 8 Threads
730,"4 Core, 8 Threads",4 Core, 8 Threads
731,"6 Core, 12 Threads",6 Core, 12 Threads
732,"4 Core, 8 Threads",4 Core, 8 Threads
733,"4 Core, 8 Threads",4 Core, 8 Threads
734,"6 Core, 12 Threads",6 Core, 12 Threads
735,"6 Core, 12 Threads",6 Core, 12 Threads
736,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
737,"2 Core, 2 Threads",2 Core, 2 Threads
738,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
739,"6 Core, 12 Threads",6 Core, 12 Threads
740,"5 Cores (1P + 4E), 6 Threads",5 Cores (1P + 4E), 6 Threads
741,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
742,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
743,"6 Core, 12 Threads",6 Core, 12 Threads
744,"8 Core, 16 Threads",8 Core, 16 Threads
745,"2 Core, 4 Threads",2 Core, 4 Threads
746,"4 Core, 8 Threads",4 Core, 8 Threads
747,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
748,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
749,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
750,"4 Core, 8 Threads",4 Core, 8 Threads
751,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
752,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
753,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
754,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
755,"6 Core, 12 Threads",6 Core, 12 Threads
756,"6 Core, 12 Threads",6 Core, 12 Threads
757,"2 Core, 4 Threads",2 Core, 4 Threads
758,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
759,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
760,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
761,"4 Core, 8 Threads",4 Core, 8 Threads
762,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
763,"8 Core, 16 Threads",8 Core, 16 Threads
764,"4 Core, 8 Threads",4 Core, 8 Threads
