,SSD,ssd_size,ssd_type
811,512GB SSD,512GB,SSD
812,1TB SSD,1TB,SSD
813,1TB SSD,1TB,SSD
814,512GB SSD,512GB,SSD
815,1TB SSD,1TB,SSD
816,512GB SSD,512GB,SSD
817,1TB SSD,1TB,SSD
818,1TB SSD,1TB,SSD
819,512GB SSD,512GB,SSD
820,512GB SSD,512GB,SSD
821,1TB SSD,1TB,SSD
822,512GB SSD,512GB,SSD
823,1TB SSD,1TB,SSD
824,512GB SSD,512GB,SSD
825,512GB SSD,512GB,SSD
826,512GB SSD,512GB,SSD
827,256GB SSD,256GB,SSD
828,128GB SSD,128GB,SSD
829,512GB SSD,512GB,SSD
830,512GB SSD,512GB,SSD
831,512GB SSD,512GB,SSD
832,512GB SSD,512GB,SSD
833,512GB SSD,512GB,SSD
834,512GB SSD,512GB,SSD
835,512GB SSD,512GB,SSD
836,512GB SSD,512GB,SSD
837,512GB SSD,512GB,SSD
838,512GB SSD,512GB,SSD
839,512GB SSD,512GB,SSD
840,512GB SSD,512GB,SSD
841,1TB SSD,1TB,SSD
842,512GB SSD,512GB,SSD
843,512GB SSD,512GB,SSD
844,512GB SSD,512GB,SSD
845,512GB SSD,512GB,SSD
846,512GB SSD,512GB,SSD
847,512GB SSD,512GB,SSD
848,512GB SSD,512GB,SSD
849,512GB SSD,512GB,SSD
850,512GB SSD,512GB,SSD
851,512GB SSD,512GB,SSD
852,512GB SSD,512GB,SSD
853,1TB SSD,1TB,SSD
854,1TB SSD,1TB,SSD
855,512GB SSD,512GB,SSD
856,512GB SSD,512GB,SSD
857,2TB SSD,2TB,SSD
858,512GB SSD,512GB,SSD
859,1TB SSD,1TB,SSD
860,512GB SSD,512GB,SSD
861,512GB SSD,512GB,SSD
862,512GB SSD,512GB,SSD
863,512GB SSD,512GB,SSD
864,1TB SSD,1TB,SSD
865,512GB SSD,512GB,SSD
866,512GB SSD,512GB,SSD
867,512GB SSD,512GB,SSD
868,512GB SSD,512GB,SSD
869,512GB SSD,512GB,SSD
870,512GB SSD,512GB,SSD
871,512GB SSD,512GB,SSD
872,512GB SSD,512GB,SSD
873,512GB SSD,512GB,SSD
874,1TB SSD,1TB,SSD
875,512GB SSD,512GB,SSD
876,512GB SSD,512GB,SSD
877,512GB SSD,512GB,SSD
878,512GB SSD,512GB,SSD
879,1TB SSD,1TB,SSD
880,512GB SSD,512GB,SSD
881,512GB SSD,512GB,SSD
882,512GB SSD,512GB,SSD
883,512GB SSD,512GB,SSD
884,512GB SSD,512GB,SSD
885,512GB SSD,512GB,SSD
886,512GB SSD,512GB,SSD
887,512GB SSD,512GB,SSD
888,1TB SSD,1TB,SSD
889,512GB SSD,512GB,SSD
890,1TB SSD,1TB,SSD
891,512GB SSD,512GB,SSD
892,512GB SSD,512GB,SSD
893,512GB SSD,512GB,SSD
894,1TB SSD,1TB,SSD
895,512GB SSD,512GB,SSD
896,512GB SSD,512GB,SSD
897,512GB SSD,512GB,SSD
898,512GB SSD,512GB,SSD
899,512GB SSD,512GB,SSD
900,512GB SSD,512GB,SSD
901,512GB SSD,512GB,SSD
902,512GB SSD,512GB,SSD
903,512GB SSD,512GB,SSD
904,512GB SSD,512GB,SSD
905,512GB SSD,512GB,SSD
906,512GB SSD,512GB,SSD
907,512GB SSD,512GB,SSD
908,1TB SSD,1TB,SSD
909,512GB SSD,512GB,SSD
910,512GB SSD,512GB,SSD
911,1TB SSD,1TB,SSD
912,512GB SSD,512GB,SSD
913,512GB SSD,512GB,SSD
914,512GB SSD,512GB,SSD
