,Generation,brand,gen,model,Model_Number
834,5th Gen AMD Ryzen 5 5500U,AMD,5th,Ryzen 5,5500U
835,5th Gen AMD Ryzen 7 5800H,AMD,5th,Ryzen 7,5800H
836,5th Gen AMD Ryzen 5 5600HS,AMD,5th,Ryzen 5,5600HS
837,11th Gen Intel Core i5 11400H ,Intel,11th,i5,11400H
838,7th Gen AMD Ryzen 3 7320U,AMD,7th,Ryzen 3,7320U
839,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
840,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
841,13th Gen Intel Core i7 13620H,Intel,13th,i7,13620H
842,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
843,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
844,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
845,11th Gen Intel Core i5 1135G7,Intel,11th,i5,1135G7
846,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
847,12th Gen Intel Core i3 1215U ,Intel,12th,i3,1215U
848,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
849,7th Gen AMD Ryzen 3 7320U,AMD,7th,Ryzen 3,7320U
850,11th Gen Intel Core i7 1165G7,Intel,11th,i7,1165G7
851,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
852,3rd Gen AMD Athlon 3050U,AMD,3rd,Athlon,3050U
853,13th Gen Intel Core i7 13650HX,Intel,13th,i7,13650HX
854,13th Gen Intel Core i7 13650HX,Intel,13th,i7,13650HX
855,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
856,11th Gen Intel Core i5 11400H ,Intel,11th,i5,11400H
857,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
858,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
859,13th Gen Intel Core i7 13700HX ,Intel,13th,i7,13700HX
860,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
861,Intel Pentium Silver N6000,Intel,None,Pentium,N6000
862,Apple M2,Apple,None,M2,M2
863,13th Gen Intel Core i3 1305U,Intel,13th,i3,1305U
864,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
865,11th Gen Intel Core i5 1155G7,Intel,11th,i5,1155G7
866,Intel Celeron N4020,Intel,None,Celeron,N4020
867,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
868,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
869,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
870,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
871,11th Gen Intel Core i5 1135G7,Intel,11th,i5,1135G7
872,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
873,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
874,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
875,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
876,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
877,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
878,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
879,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
880,12th Gen Intel Core i5 12500H ,Intel,12th,i5,12500H
881,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
882,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
883,Intel Celeron  N4500,Intel,None,Celeron,N4500
884,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
885,5th Gen AMD Ryzen 7 5800H,AMD,5th,Ryzen 7,5800H
886,3rd Gen AMD Ryzen 3  3250U,AMD,3rd,Ryzen 3,3250U
887,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
888,5th Gen AMD Ryzen 7 5800HS,AMD,5th,Ryzen 7,5800HS
889,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
890,7th Gen AMD Ryzen 7040 Series 040,AMD,7th,Ryzen 7,040
891,13th Gen Intel Core i7 13650HX,Intel,13th,i7,13650HX
892,13th Gen Intel Core i3 1315U,Intel,13th,i3,1315U
893,13th Gen Intel Core i5 1340p,Intel,13th,i5,1340p
894,13th Gen Intel Core i9 13900HX ,Intel,13th,i9,13900HX
895,13th Gen Intel Core i7 13650HX,Intel,13th,i7,13650HX
896,13th Gen Intel Core i7 13650HX,Intel,13th,i7,13650HX
897,13th Gen Intel Core i5 13450HX,Intel,13th,i5,13450HX
898,13th Gen Intel Core i5 13450HX,Intel,13th,i5,13450HX
899,13th Gen Intel Core i7 13650HX,Intel,13th,i7,13650HX
